sec,EEG,alpha,beta,delta,theta
2.09,2.17896,-0.0673074,0.195847,2.22997,0.45817
2.095,2.35596,-0.143778,0.406646,2.24337,0.305795
2.1,2.53296,-0.223287,0.553609,2.25145,0.147604
2.105,2.948,-0.29477,0.590773,2.25482,-0.011942
2.11,2.948,-0.346771,0.462903,2.25409,-0.168371
2.115,2.54517,-0.368841,0.154955,2.24984,-0.317339
2.12,1.84937,-0.352948,-0.257683,2.2426,-0.454788
2.125,1.19629,-0.294723,-0.611003,2.2329,-0.577015
2.13,1.32446,-0.19471,-0.726577,2.22123,-0.680824
2.135,1.86157,-0.0587914,-0.52209,2.20803,-0.763672
2.14,2.46582,0.102002,-0.0831261,2.19373,-0.823713
2.145,2.88696,0.27242,0.36549,2.17871,-0.859814
2.15,3.21655,0.434499,0.583033,2.16333,-0.871614
2.155,3.33252,0.569501,0.460224,2.14788,-0.859577
2.16,2.92969,0.659992,0.0915902,2.13266,-0.824964
2.165,2.69165,0.692054,-0.28066,2.11789,-0.769735
2.17,2.84424,0.65734,-0.420262,2.10377,-0.696508
2.175,2.99072,0.554506,-0.248691,2.09049,-0.608552
2.18,3.05176,0.389621,0.107557,2.07817,-0.509539
2.185,2.87476,0.175754,0.404924,2.06693,-0.403335
2.19,2.73438,-0.0679505,0.445511,2.05682,-0.293947
2.195,2.58789,-0.318152,0.204719,2.04791,-0.185389
2.2,1.98975,-0.549777,-0.158798,2.0402,-0.0815797
2.205,1.28174,-0.738618,-0.415042,2.03371,0.0139287
2.21,1.16577,-0.864195,-0.415945,2.0284,0.0981614
2.215,1.39771,-0.912175,-0.186538,2.02424,0.168706
2.22,2.13013,-0.875895,0.104791,2.02117,0.223845
2.225,2.29492,-0.757162,0.268987,2.01914,0.262708
2.23,2.30103,-0.566209,0.223295,2.01805,0.285214
2.235,2.65503,-0.32061,0.0344681,2.01781,0.29205
2.24,3.14331,-0.0434775,-0.143847,2.01831,0.284593
2.245,3.15552,0.23891,-0.186829,2.01945,0.264918
2.25,3.05176,0.499948,-0.0804675,2.0211,0.235764
2.255,3.46069,0.715693,0.0834749,2.02313,0.200291
2.26,3.71094,0.867042,0.187209,2.02543,0.161931
2.265,3.93677,0.941468,0.176257,2.02789,0.124164
2.27,3.61328,0.934001,0.0893577,2.03039,0.0902706
2.275,2.76489,0.847399,0.0128582,2.03284,0.0633723
2.28,2.10571,0.691631,0.000932154,2.03512,0.0462031
2.285,1.80664,0.482488,0.0279192,2.03714,0.0410043
2.29,1.86157,0.239769,0.0126132,2.03881,0.0493757
2.295,1.84937,-0.0148522,-0.105949,2.04005,0.0720065
2.3,1.02539,-0.260027,-0.301521,2.04077,0.108722
2.305,-0.201416,-0.476656,-0.458547,2.04092,0.158443
2.31,-0.427246,-0.649278,-0.442908,2.04045,0.21923
2.315,0.201416,-0.766938,-0.196274,2.03932,0.288375
2.32,0.915527,-0.823637,0.211222,2.03748,0.362472
2.325,1.34277,-0.818522,0.60807,2.03493,0.437573
2.33,1.31226,-0.755338,0.810681,2.03165,0.509412
2.335,1.01318,-0.641463,0.718091,2.02764,0.573513
2.34,0.799561,-0.486935,0.357085,2.02291,0.625364
2.345,0.67749,-0.303641,-0.139068,2.01749,0.660634
2.35,0.866699,-0.104496,-0.596399,2.01141,0.675444
2.355,1.27563,0.0974605,-0.867511,2.0047,0.666556
2.36,0.994873,0.289803,-0.87202,1.99742,0.631547
2.365,1.14746,0.461109,-0.608195,1.98961,0.569007
2.37,1.95313,0.601143,-0.149453,1.98134,0.478606
2.375,3.07007,0.701321,0.366966,1.97268,0.361182
2.38,3.78418,0.755016,0.77044,1.96369,0.218732
2.385,3.66821,0.757937,0.911569,1.95444,0.0545787
2.39,3.09448,0.708681,0.729776,1.945,-0.126781
2.395,2.45972,0.608959,0.296757,1.93545,-0.31991
2.4,1.94092,0.463873,-0.201908,1.92585,-0.518647
2.405,1.08643,0.281909,-0.553186,1.91628,-0.716274
2.41,0.689697,0.0746209,-0.629782,1.90683,-0.905692
2.415,0.488281,-0.143713,-0.457193,1.89755,-1.07971
2.42,0.268555,-0.356972,-0.187691,1.88851,-1.23135
2.425,-0.0305176,-0.548307,0.00628939,1.87976,-1.35406
2.43,-0.109863,-0.701666,0.0475616,1.87134,-1.44192
2.435,0.0793457,-0.803233,-0.00315768,1.86331,-1.49007
2.44,0.0610352,-0.84295,-0.00850377,1.85573,-1.49493
2.445,-0.0610352,-0.815554,0.124239,1.84865,-1.45432
2.45,0.231934,-0.721346,0.354247,1.84211,-1.36756
2.455,1.06201,-0.566407,0.52249,1.83616,-1.23565
2.46,1.59302,-0.362268,0.465988,1.83083,-1.06113
2.465,1.81885,-0.125246,0.149553,1.82617,-0.848123
2.47,1.69678,0.124844,-0.286423,1.82221,-0.602181
2.475,1.82495,0.36647,-0.606058,1.81898,-0.330258
2.48,2.4353,0.578525,-0.632603,1.81651,-0.0403838
