sec,EEG,alpha,beta,delta,theta
8.275,4.55933,0.504869,0.436792,4.76928,-0.494588
8.28,5.64575,0.567781,1.46096,4.76868,-0.431675
8.285,6.26221,0.552639,1.85724,4.76204,-0.367189
8.29,6.00586,0.465473,1.39811,4.74997,-0.302232
8.295,4.66309,0.321973,0.314099,4.73312,-0.23755
8.3,3.18604,0.144878,-0.826083,4.7122,-0.173502
8.305,2.19727,-0.0394179,-1.44591,4.68792,-0.110192
8.31,2.16064,-0.204755,-1.29278,4.66106,-0.0474613
8.315,2.94189,-0.328984,-0.561656,4.63237,0.0149625
8.32,3.94287,-0.396913,0.258809,4.60263,0.0774213
8.325,4.37622,-0.402197,0.707162,4.57263,0.140258
8.33,3.72925,-0.348042,0.621915,4.54314,0.203818
8.335,2.96631,-0.246415,0.194392,4.51493,0.268353
8.34,3.1311,-0.115788,-0.207522,4.48874,0.334001
8.345,3.80859,0.0217912,-0.305129,4.46526,0.400527
8.35,4.29688,0.144249,-0.0807124,4.44518,0.467386
8.355,4.71191,0.232826,0.246512,4.42912,0.533696
8.36,4.90723,0.274888,0.402742,4.41768,0.598127
8.365,4.62646,0.265672,0.257054,4.4114,0.658954
8.37,4.49219,0.20872,-0.0982896,4.41078,0.714137
8.375,4.78516,0.115192,-0.426323,4.41623,0.761433
8.38,4.75464,0.00211604,-0.513467,4.42809,0.798461
8.385,4.80347,-0.11055,-0.307537,4.44663,0.822823
8.39,5.09644,-0.203081,0.0616656,4.47207,0.832122
8.395,5.25513,-0.259406,0.377789,4.50454,0.824132
8.4,5.35278,-0.269473,0.473632,4.54409,0.796931
8.405,5.64575,-0.230779,0.320134,4.59068,0.749056
8.41,5.66406,-0.14887,0.0240169,4.64422,0.679652
8.415,5.62744,-0.0364808,-0.24993,4.70451,0.588573
8.42,5.61523,0.0885046,-0.37488,4.77127,0.476399
8.425,5.67017,0.206006,-0.319987,4.84414,0.344399
8.43,5.9082,0.296715,-0.146282,4.92269,0.194648
8.435,6.2439,0.345065,0.0428002,5.00643,0.0300483
8.44,6.75659,0.341841,0.161195,5.09478,-0.145698
8.445,6.9397,0.285748,0.17805,5.18713,-0.328202
8.45,6.05469,0.183661,0.119873,5.28278,-0.512492
8.455,5.37109,0.0494561,0.0447209,5.38098,-0.693154
8.46,5.46875,-0.0978772,0.00617112,5.48091,-0.864521
8.465,5.30396,-0.237106,0.0266462,5.5817,-1.02089
8.47,4.8584,-0.347836,0.0884043,5.68247,-1.15663
8.475,4.96826,-0.413527,0.144508,5.7823,-1.26641
8.48,4.80957,-0.424,0.14293,5.88024,-1.34537
8.485,4.37622,-0.376859,0.0522485,5.97534,-1.38952
8.49,4.55322,-0.277911,-0.1196,6.06664,-1.39592
8.495,4.81567,-0.140292,-0.322579,6.15316,-1.36266
8.5,4.93774,0.0175677,-0.480674,6.23393,-1.28912
8.505,5.31616,0.174546,-0.518037,6.30801,-1.17591
8.51,5.88989,0.309723,-0.387686,6.3745,-1.02483
8.515,6.44531,0.40538,-0.0926385,6.43249,-0.838958
8.52,7.03735,0.449391,0.304522,6.48113,-0.622688
8.525,7.58057,0.436655,0.690423,6.51963,-0.381598
8.53,8.09937,0.369771,0.930175,6.54725,-0.122194
8.535,8.30688,0.25835,0.910937,6.56329,0.148212
8.54,8.20313,0.117417,0.588731,6.56712,0.421745
8.545,7.27539,-0.0347609,0.0202077,6.55819,0.690064
8.55,6.21338,-0.179358,-0.637525,6.53602,0.944744
8.555,5.84717,-0.299408,-1.16844,6.50022,1.17762
8.56,6.21338,-0.381789,-1.37078,6.4505,1.38107
8.565,6.80542,-0.418771,-1.13825,6.38662,1.54821
8.57,6.98853,-0.408619,-0.513987,6.30847,1.67315
8.575,7.4585,-0.35551,0.309961,6.21604,1.75124
8.58,8.46558,-0.268153,1.055,6.10937,1.7792
8.585,9.01489,-0.15826,1.45978,5.98866,1.75524
8.59,8.72803,-0.0387155,1.38296,5.85417,1.6791
8.595,7.97729,0.0780583,0.859721,5.70629,1.55229
8.6,6.9519,0.181477,0.087115,5.54546,1.3779
8.605,5.48706,0.263796,-0.65673,5.37225,1.16053
8.61,3.94287,0.320417,-1.12457,5.1873,0.906226
8.615,3.4729,0.349715,-1.19178,4.99133,0.622319
8.62,3.54004,0.352524,-0.88966,4.78518,0.317194
8.625,3.75977,0.331261,-0.371381,4.56975,-4.89E-05
8.63,3.39966,0.289102,0.166569,4.34602,-0.319828
8.635,2.6001,0.229271,0.563043,4.11501,-0.632372
8.64,2.17285,0.154749,0.737312,3.87783,-0.92808
8.645,2.27051,0.0682965,0.6891,3.6356,-1.19776
8.65,1.97754,-0.0270885,0.470272,3.38951,-1.43287
8.655,1.18408,-0.127831,0.154242,3.14078,-1.6259
8.66,0.0854492,-0.22918,-0.178162,2.89065,-1.77069
8.665,-0.878906,-0.32479,-0.440054,2.64041,-1.86256
8.67,-1.11084,-0.406718,-0.547396,2.39134,-1.89846
8.675,-0.787354,-0.465874,-0.447922,2.14473,-1.87697
8.68,-0.457764,-0.492728,-0.160337,1.90185,-1.79839
8.685,-0.20752,-0.478889,0.206034,1.66396,-1.66489
8.69,-0.390625,-0.418944,0.481296,1.4323,-1.48043
8.695,-0.55542,-0.311833,0.513308,1.20808,-1.25057
8.7,-0.00610352,-0.161812,0.258626,0.992438,-0.982253
8.705,0.372314,0.0211908,-0.172156,0.786488,-0.683623
8.71,0.250244,0.221878,-0.555336,0.591263,-0.363791
8.715,0.476074,0.420616,-0.67008,0.40773,-0.0324821
8.72,1.07422,0.595305,-0.428449,0.236785,0.300146
8.725,1.61743,0.724079,0.0598958,0.0792418,0.623787
8.73,2.61841,0.788242,0.536559,-0.0641717,0.928491
8.735,3.42407,0.774795,0.737557,-0.192835,1.20492
8.74,3.16162,0.678816,0.548266,-0.30623,1.44453
8.745,2.41089,0.505112,0.0751301,-0.403935,1.63989
8.75,1.44043,0.268201,-0.410358,-0.48564,1.78505
8.755,0.683594,-0.00905907,-0.629874,-0.551141,1.87565
8.76,0.927734,-0.29773,-0.465085,-0.600351,1.90888
8.765,1.24512,-0.566052,-0.0287639,-0.633294,1.88367
8.77,1.43433,-0.783172,0.403128,-0.650104,1.80071
8.775,0.787354,-0.923039,0.558777,-0.651039,1.6625
8.78,0.445557,-0.967769,0.335478,-0.63646,1.47337
8.785,0.390625,-0.910261,-0.136964,-0.606839,1.23919
8.79,-0.134277,-0.755163,-0.573609,-0.562752,0.96715
8.795,-0.238037,-0.518669,-0.705821,-0.504892,0.665559
8.8,0.274658,-0.226712,-0.442055,-0.434041,0.343527
8.805,0.994873,0.0881837,0.0798463,-0.351082,0.0107065
8.81,1.46484,0.390597,0.577294,-0.256988,-0.322879
8.815,1.68457,0.646757,0.789636,-0.152806,-0.647112
8.82,1.34888,0.828888,0.623694,-0.0396611,-0.952063
8.825,0.958252,0.918365,0.193257,0.0812558,-1.22842
8.83,0.238037,0.907764,-0.264474,0.208695,-1.46774
8.835,-0.238037,0.801522,-0.534214,0.341346,-1.66268
8.84,-0.463867,0.615312,-0.536869,0.477865,-1.80734
8.845,-0.830078,0.373772,-0.346742,0.616891,-1.89735
8.85,-1.28784,0.10701,-0.112952,0.757033,-1.92995
8.855,-1.03149,-0.15341,0.0491195,0.89688,-1.90408
8.86,-0.427246,-0.378314,0.118362,1.03502,-1.82038
8.865,-0.55542,-0.544445,0.147666,1.17004,-1.6813
8.87,-1.00098,-0.636983,0.191275,1.30056,-1.49087
8.875,-0.994873,-0.651177,0.244482,1.42525,-1.25468
8.88,-0.3479,-0.592404,0.247596,1.54277,-0.979735
8.885,0.311279,-0.474774,0.146015,1.65189,-0.674202
8.89,0.396729,-0.318709,-0.045337,1.75139,-0.347211
8.895,0.732422,-0.147859,-0.23192,1.84013,-0.00853861
8.9,0.897217,0.0144852,-0.300106,1.91706,0.33166
8.905,1.18408,0.148516,-0.204633,1.98121,0.663124
8.91,1.84326,0.240295,-0.0131478,2.03169,0.975978
8.915,2.54517,0.283274,0.133807,2.06771,1.26096
8.92,3.125,0.2785,0.126126,2.08861,1.50963
8.925,3.19824,0.233872,-0.0272005,2.09381,1.71456
8.93,2.86255,0.162509,-0.193736,2.08287,1.86963
8.935,2.53296,0.0804299,-0.210322,2.05546,1.9702
8.94,2.89307,0.00396406,-0.00996313,2.01138,2.01323
8.945,3.58887,-0.0527804,0.311572,1.95055,1.99733
8.95,3.71704,-0.0800221,0.544507,1.873,1.92292
8.955,3.54614,-0.073779,0.501595,1.77892,1.79215
8.96,2.83203,-0.0362777,0.151347,1.66861,1.60884
8.965,1.78833,0.0246655,-0.345511,1.5425,1.37825
8.97,1.01318,0.0970855,-0.724699,1.40114,1.10705
8.975,0.78125,0.166816,-0.774433,1.2452,0.803194
8.98,1.10474,0.219834,-0.459157,1.07548,0.475619
8.985,1.01318,0.24443,0.0646643,0.892866,0.133884
8.99,0.671387,0.232989,0.544699,0.698396,-0.212097
8.995,0.286865,0.183269,0.771888,0.493186,-0.552217
9,-0.439453,0.0989812,0.675563,0.278437,-0.876455
9.005,-0.982666,-0.0107819,0.331507,0.055452,-1.17534
9.01,-1.9043,-0.132731,-0.100564,-0.174387,-1.44021
9.015,-3.10059,-0.251221,-0.45945,-0.409628,-1.66347
9.02,-3.68652,-0.350413,-0.635125,-0.648761,-1.83878
9.025,-3.61328,-0.416259,-0.584746,-0.890221,-1.96113
9.03,-3.4729,-0.438555,-0.330708,-1.1324,-2.02707
9.035,-3.69263,-0.412316,0.0436464,-1.37365,-2.03483
9.04,-3.33252,-0.338539,0.40306,-1.61233,-1.98443
9.045,-2.63672,-0.224169,0.597543,-1.84676,-1.8777
9.05,-2.36206,-0.0814231,0.52738,-2.07527,-1.7181
9.055,-2.4292,0.0737998,0.20897,-2.2962,-1.51056
9.06,-2.53296,0.223869,-0.209419,-2.50792,-1.26136
9.065,-2.66113,0.35159,-0.512577,-2.70884,-0.978103
9.07,-2.64282,0.442368,-0.538426,-2.89738,-0.669263
9.075,-1.83105,0.485669,-0.28013,-3.07205,-0.343874
9.08,-0.811768,0.476493,0.101725,-3.23143,-0.0114222
9.085,-0.488281,0.416175,0.375535,-3.37414,0.318402
9.09,-0.67749,0.312139,0.388079,-3.49892,0.63605
9.095,-1.26953,0.176924,0.163924,-3.60457,0.932426
9.1,-1.40381,0.0268208,-0.115848,-3.69003,1.1992
9.105,-1.13525,-0.120289,-0.245242,-3.75435,1.4289
9.11,-1.12915,-0.247229,-0.142232,-3.79663,1.61527
9.115,-1.24512,-0.339428,0.0916577,-3.81611,1.7534
9.12,-1.25732,-0.386745,0.246897,-3.8122,1.83992
9.125,-1.59912,-0.384667,0.164056,-3.78447,1.87305
9.13,-1.97754,-0.334968,-0.136748,-3.73257,1.85256
9.135,-1.62354,-0.245478,-0.453845,-3.65625,1.77985
9.14,-1.85547,-0.12922,-0.53797,-3.55548,1.65789
9.145,-2.38647,-0.00262705,-0.272794,-3.43034,1.49104
9.15,-2.12402,0.116562,0.22638,-3.28106,1.28498
9.155,-1.59912,0.211609,0.669701,-3.10799,1.04647
9.16,-1.08032,0.269087,0.774295,-2.91163,0.783088
9.165,-1.53198,0.280805,0.452219,-2.69265,0.503036
9.17,-2.94189,0.24492,-0.122357,-2.45181,0.21491
9.175,-3.85742,0.166344,-0.618399,-2.19001,-0.0725575
9.18,-3.94897,0.0563648,-0.75618,-1.90826,-0.350813
9.185,-3.28369,-0.0686253,-0.482859,-1.60769,-0.611759
9.19,-2.84424,-0.189328,0.000348303,-1.28956,-0.848012
9.195,-2.76489,-0.28621,0.376665,-0.955205,-1.05307
9.2,-2.771,-0.342163,0.425212,-0.60609,-1.22158
9.205,-2.66113,-0.344915,0.163685,-0.243754,-1.34951
9.21,-2.63062,-0.289202,-0.173219,0.130183,-1.43406
9.215,-2.41699,-0.17809,-0.304136,0.514022,-1.47392
9.22,-1.61743,-0.0229884,-0.103151,0.906001,-1.46922
9.225,-0.67749,0.157414,0.302617,1.30431,-1.42156
9.23,0.0366211,0.339259,0.612479,1.7071,-1.33388
9.235,0.482178,0.496323,0.556627,2.11251,-1.21022
9.24,0.549316,0.603684,0.0903081,2.51863,-1.05551
9.245,0.646973,0.641335,-0.554107,2.92357,-0.875552
9.25,0.958252,0.597327,-0.997871,3.32546,-0.67678
9.255,1.44043,0.469841,-0.950489,3.72242,-0.466071
9.26,2.22168,0.268222,-0.399009,4.11263,-0.25046
9.265,3.42407,0.0125032,0.373407,4.49428,-0.0369862
9.27,4.3396,-0.26848,0.953044,4.8656,0.167555
9.275,5.2124,-0.540417,1.04085,5.22489,0.356986
9.28,5.43213,-0.767663,0.625377,5.57049,0.525855
9.285,5.13916,-0.918062,-0.0246947,5.90085,0.669515
9.29,4.74243,-0.967492,-0.536993,6.21449,0.784321
9.295,4.96826,-0.903325,-0.66297,6.51003,0.86781
9.3,6.48804,-0.726754,-0.412562,6.78619,0.918609
9.305,7.94067,-0.453392,-0.0178377,7.04181,0.936426
9.31,8.61206,-0.111908,0.238496,7.27585,0.922177
9.315,8.86841,0.258994,0.211433,7.48737,0.877858
9.32,9.38721,0.615002,-0.0250326,7.67555,0.806549
9.325,10.0098,0.911846,-0.250856,7.83971,0.712182
9.33,10.7605,1.11089,-0.26784,7.97928,0.59924
9.335,10.9924,1.18427,-0.0431157,8.09385,0.472786
9.34,11.0352,1.11902,0.27001,8.18313,0.338152
9.345,11.4075,0.919417,0.443795,8.24697,0.200674
9.35,11.2549,0.606774,0.341467,8.28535,0.0656176
9.355,10.2905,0.217199,0.0194661,8.29837,-0.0620028
9.36,9.17969,-0.202568,-0.30529,8.28627,-0.177691
9.365,8.55713,-0.601092,-0.401833,8.24942,-0.277631
9.37,8.48389,-0.928919,-0.18724,8.18834,-0.358668
9.375,8.63647,-1.14484,0.20691,8.10362,-0.418392
9.38,8.28857,-1.22141,0.5091,7.99599,-0.455353
9.385,7.77588,-1.14858,0.481916,7.86629,-0.469158
9.39,7.23877,-0.935256,0.0837935,7.71547,-0.460364
9.395,7.22656,-0.608363,-0.485739,7.54458,-0.430352
9.4,7.23877,-0.209614,-0.893183,7.35475,-0.381275
9.405,7.37915,0.209932,-0.867834,7.1472,-0.315967
9.41,7.47681,0.596549,-0.369601,6.92323,-0.23789
9.415,8.12378,0.900827,0.372468,6.68423,-0.150894
9.42,9.41772,1.08415,0.979985,6.43162,-0.0591879
9.425,9.62524,1.12397,1.13599,6.1669,0.0328508
9.43,8.34351,1.01676,0.763206,5.89156,0.12094
9.435,6.92749,0.778501,0.0650843,5.60717,0.201103
9.44,5.65796,0.442539,-0.593594,5.31529,0.269832
9.445,4.79736,0.0549696,-0.894386,5.01753,0.324192
9.45,4.11377,-0.331633,-0.736474,4.71547,0.361796
9.455,3.79639,-0.665381,-0.274377,4.41071,0.381002
9.46,3.54614,-0.90205,0.194872,4.1048,0.380856
9.465,3.11279,-1.01098,0.417579,3.79929,0.361201
9.47,2.44141,-0.979228,0.325908,3.4957,0.32274
9.475,2.0813,-0.813322,0.0544487,3.19548,0.267048
9.48,1.67847,-0.538015,-0.170954,2.90007,0.196479
9.485,1.58081,-0.192588,-0.190352,2.61086,0.113925
9.49,1.34277,0.17452,-0.00884867,2.32918,0.022659
9.495,1.18408,0.512358,0.223697,2.05626,-0.0737118
9.5,1.29395,0.774654,0.327203,1.79327,-0.171291
9.505,1.27563,0.926274,0.21694,1.54132,-0.266072
9.51,0.366211,0.947906,-0.0434484,1.30142,-0.354117
9.515,-0.787354,0.838426,-0.292399,1.07449,-0.431739
9.52,-1.46484,0.614873,-0.380548,0.861371,-0.495669
9.525,-1.87378,0.309838,-0.262735,0.662807,-0.543136
9.53,-2.02637,-0.0333502,-0.0148816,0.479439,-0.571952
9.535,-2.13013,-0.366871,0.224706,0.311809,-0.580634
9.54,-2.52686,-0.64507,0.340646,0.160358,-0.568538
9.545,-2.93579,-0.83078,0.294873,0.0254288,-0.535792
9.55,-3.16772,-0.900386,0.125884,-0.0927214,-0.48322
9.555,-3.05786,-0.846878,-0.0910178,-0.193939,-0.412386
9.56,-2.66724,-0.680599,-0.283602,-0.278175,-0.325561
9.565,-2.27051,-0.427386,-0.398324,-0.345469,-0.225667
9.57,-1.89209,-0.124485,-0.397302,-0.395965,-0.11613
9.575,-1.09863,0.184798,-0.259082,-0.429899,-0.00066544
9.58,-0.158691,0.457582,0.00323239,-0.447586,0.116796
9.585,0.585938,0.657421,0.320392,-0.449418,0.23217
9.59,1.08032,0.759195,0.572105,-0.435867,0.341388
9.595,1.63574,0.75238,0.633723,-0.407491,0.440638
9.6,1.86157,0.642305,0.443752,-0.364929,0.526565
9.605,1.61133,0.449096,0.0513084,-0.308875,0.596188
9.61,0.964355,0.204108,-0.393128,-0.240072,0.647065
9.615,0.372314,-0.0549859,-0.705412,-0.159318,0.677516
9.62,0.201416,-0.28974,-0.754695,-0.0674705,0.686497
9.625,0.878906,-0.466679,-0.522312,0.0345702,0.673598
9.63,1.7334,-0.561944,-0.103781,0.145877,0.639242
9.635,1.9043,-0.564707,0.338636,0.265484,0.584677
9.64,2.4292,-0.478548,0.643396,0.392414,0.511733
9.645,2.52686,-0.320463,0.705475,0.525672,0.422843
9.65,2.47803,-0.117905,0.505013,0.664248,0.321007
9.655,2.44751,0.0955757,0.111355,0.807119,0.209654
9.66,2.76489,0.2854,-0.332917,0.953272,0.0925068
9.665,2.69165,0.421353,-0.651879,1.1017,-0.0265858
9.67,2.38647,0.482118,-0.700268,1.25139,-0.143779
9.675,2.37427,0.458257,-0.43588,1.40136,-0.255332
9.68,2.69775,0.353549,0.0383367,1.55064,-0.357741
9.685,3.4668,0.184265,0.501309,1.69829,-0.447827
9.69,3.68042,-0.0233595,0.716539,1.84342,-0.522835
9.695,3.40576,-0.237152,0.564474,1.98514,-0.58051
9.7,2.75879,-0.42369,0.122649,2.12263,-0.619243
9.705,1.9043,-0.553181,-0.366167,2.2551,-0.638129
9.71,1.40381,-0.604103,-0.628867,2.38182,-0.63701
9.715,1.81885,-0.566267,-0.525696,2.50207,-0.616423
9.72,2.71606,-0.442327,-0.137951,2.61522,-0.577483
9.725,3.4668,-0.247364,0.282807,2.72065,-0.521946
9.73,3.83911,-0.00670852,0.474174,2.81784,-0.452123
9.735,3.42407,0.247622,0.329231,2.90629,-0.370688
9.74,3.22266,0.481289,-0.0382814,2.98557,-0.280575
9.745,3.27759,0.662467,-0.373558,3.05534,-0.184971
9.75,3.70483,0.766133,-0.448638,3.11527,-0.0871547
9.755,3.74756,0.777326,-0.209859,3.16514,0.00966256
9.76,3.61938,0.693249,0.192844,3.20471,0.102382
9.765,3.57666,0.523365,0.508631,3.23386,0.18803
9.77,3.19214,0.287845,0.547184,3.2525,0.263997
9.775,2.68555,0.0148619,0.293625,3.26059,0.328109
9.78,2.06909,-0.263145,-0.0948252,3.25816,0.37873
9.785,1.35498,-0.513535,-0.399889,3.24529,0.414743
9.79,0.65918,-0.707599,-0.479676,3.22213,0.435563
9.795,0.305176,-0.824129,-0.342189,3.18884,0.441159
9.8,0.744629,-0.851628,-0.115008,3.14566,0.432099
9.805,1.14746,-0.789236,0.0579738,3.09286,0.409488
9.81,1.13525,-0.646181,0.114009,3.03074,0.374882
9.815,0.958252,-0.440195,0.0964211,2.95968,0.330258
9.82,1.20239,-0.195048,0.0972056,2.88005,0.277727
9.825,1.78833,0.0625799,0.167343,2.79231,0.219522
9.83,2.06909,0.30614,0.266296,2.69691,0.158056
9.835,2.11792,0.511979,0.291006,2.59435,0.0958208
9.84,1.83716,0.66177,0.163154,2.48515,0.035229
9.845,1.66016,0.74402,-0.0924369,2.36986,-0.0215739
9.85,1.53809,0.75466,-0.342067,2.24904,-0.0727825
9.855,1.27563,0.696711,-0.425796,2.12326,-0.116818
9.86,1.23291,0.57921,-0.274844,1.99311,-0.152437
9.865,1.40991,0.415854,0.0237135,1.85919,-0.178884
9.87,1.10474,0.223257,0.271376,1.72213,-0.195916
9.875,0.848389,0.0191428,0.29222,1.58255,-0.2037
9.88,0.823975,-0.179116,0.0654493,1.44109,-0.202832
9.885,0.665283,-0.355736,-0.243054,1.29838,-0.194233
9.89,0.115967,-0.497428,-0.384752,1.15506,-0.179049
9.895,0.109863,-0.594201,-0.208075,1.01174,-0.158701
9.9,0.561523,-0.639651,0.213486,0.869025,-0.134831
9.905,0.793457,-0.631261,0.605205,0.727521,-0.109217
9.91,1.08643,-0.57052,0.665551,0.587815,-0.0837185
9.915,1.06812,-0.462852,0.284103,0.450492,-0.0600306
9.92,0.592041,-0.317328,-0.353223,0.316115,-0.03966
9.925,-0.0915527,-0.14595,-0.857737,0.185245,-0.0238266
9.93,-0.250244,0.0369291,-0.88239,0.0584124,-0.0135268
9.935,0.292969,0.21556,-0.360038,-0.0638727,-0.00936663
9.94,1.58691,0.373971,0.427784,-0.181117,-0.0115418
9.945,2.67944,0.497485,1.00972,-0.292847,-0.0199913
9.95,2.72217,0.573927,1.0161,-0.398627,-0.0343001
9.955,1.80664,0.595177,0.413972,-0.498052,-0.053598
9.96,0.726318,0.558284,-0.466008,-0.590753,-0.0766814
9.965,0.250244,0.466194,-1.12839,-0.67638,-0.102022
9.97,0.0854492,0.327984,-1.20697,-0.754605,-0.127799
9.975,0.402832,0.158116,-0.669731,-0.825144,-0.152019
9.98,1.41602,-0.0250779,0.184918,-0.887749,-0.172695
9.985,1.64795,-0.201274,0.920607,-0.942215,-0.187993
9.99,1.22681,-0.350621,1.211,-0.988364,-0.196238
9.995,0.640869,-0.456149,0.989784,-1.02606,-0.195981
10,-0.0732422,-0.505928,0.431951,-1.0552,-0.186039
10.005,-0.494385,-0.494861,-0.188169,-1.07572,-0.165709
10.01,-1.12915,-0.425539,-0.651832,-1.0876,-0.134735
10.015,-1.5564,-0.308146,-0.868628,-1.09085,-0.0932063
10.02,-1.5564,-0.159089,-0.852857,-1.08554,-0.0417578
10.025,-1.51978,0.00107019,-0.655885,-1.07177,0.0183501
10.03,-0.927734,0.150534,-0.323951,-1.04968,0.0853577
10.035,-0.268555,0.269291,0.092677,-1.01948,0.157166
10.04,0.354004,0.341978,0.509899,-0.981371,0.231401
10.045,0.616455,0.360301,0.806581,-0.935608,0.305325
10.05,0.323486,0.324236,0.870115,-0.882491,0.376049
10.055,-0.10376,0.241888,0.663235,-0.822371,0.440594
10.06,-0.421143,0.128263,0.258656,-0.755629,0.495986
10.065,-0.976563,0.00301173,-0.189514,-0.682677,0.53944
10.07,-1.59912,-0.112698,-0.524072,-0.603961,0.568462
10.075,-2.0874,-0.199541,-0.65948,-0.519962,0.580981
10.08,-2.11182,-0.242969,-0.60546,-0.431199,0.575425
10.085,-1.82495,-0.235687,-0.430855,-0.33822,0.550841
10.09,-1.51978,-0.179087,-0.205314,-0.241597,0.506857
10.095,-1.31836,-0.0832251,0.0343986,-0.14194,0.443746
10.1,-0.927734,0.034804,0.271208,-0.03988,0.362558
10.105,-0.305176,0.153579,0.469282,0.0639392,0.264949
10.11,-0.0976563,0.250844,0.557704,0.168856,0.153265
10.115,-0.244141,0.307035,0.463778,0.274188,0.0305568
10.12,-0.378418,0.308712,0.178484,0.379238,-0.0996629
10.125,-0.67749,0.251204,-0.199984,0.48331,-0.2335
10.13,-0.88501,0.139881,-0.492022,0.585697,-0.366855
10.135,-1.32446,-0.0104529,-0.531871,0.685681,-0.495454
10.14,-1.45874,-0.177504,-0.276668,0.782547,-0.61504
10.145,-0.994873,-0.33466,0.145603,0.875586,-0.72152
10.15,-0.708008,-0.455265,0.494584,0.964096,-0.811062
10.155,-0.592041,-0.516828,0.556105,1.04738,-0.880285
10.16,-0.830078,-0.504731,0.276368,1.12476,-0.926343
10.165,-1.33057,-0.414946,-0.197081,1.19556,-0.947115
10.17,-1.50146,-0.255333,-0.597616,1.25913,-0.941338
10.175,-1.01318,-0.0450388,-0.696854,1.31487,-0.908595
10.18,-0.12207,0.188021,-0.440476,1.36221,-0.849309
10.185,1.01929,0.411107,0.0260344,1.40058,-0.764751
10.19,1.52588,0.591327,0.454085,1.42948,-0.65707
10.195,1.83716,0.700465,0.642776,1.44842,-0.529071
10.2,2.38037,0.719484,0.546388,1.45696,-0.384183
10.205,2.83203,0.64173,0.274196,1.45471,-0.226506
10.21,2.50244,0.474288,-0.00587,1.44134,-0.0605149
10.215,1.80664,0.237297,-0.181449,1.41657,0.109099
10.22,1.69678,-0.0385504,-0.249223,1.38016,0.277459
10.225,1.98975,-0.316306,-0.277373,1.33191,0.439623
10.23,2.05688,-0.558009,-0.317161,1.27171,0.590876
10.235,1.94092,-0.730179,-0.342664,1.19951,0.726905
10.24,1.77002,-0.808811,-0.269641,1.11529,0.843864
10.245,2.0752,-0.782964,-0.0398035,1.01913,0.938553
10.25,2.67334,-0.656222,0.300221,0.91114,1.00835
10.255,3.22876,-0.446187,0.595746,0.79151,1.05138
10.26,3.57056,-0.182135,0.667944,0.660489,1.06669
10.265,3.60718,0.0994103,0.432774,0.5184,1.05413
10.27,3.19824,0.359952,-0.0293371,0.365622,1.01442
10.275,2.47192,0.564571,-0.506453,0.202589,0.949149
10.28,1.97754,0.686983,-0.771057,0.0298049,0.860589
10.285,1.86157,0.713401,-0.704662,-0.152166,0.751565
10.29,1.69678,0.644222,-0.353158,-0.342716,0.625515
10.295,1.67236,0.493633,0.115006,-0.541187,0.486331
10.3,1.3855,0.287248,0.508249,-0.746871,0.338105
10.305,0.646973,0.0579531,0.704165,-0.95901,0.185102
10.31,-0.43335,-0.159142,0.680367,-1.17679,0.0315904
10.315,-1.5625,-0.332238,0.48431,-1.39938,-0.118242
10.32,-2.06909,-0.437617,0.182453,-1.62591,-0.260455
10.325,-2.71606,-0.463161,-0.167549,-1.85548,-0.391598
10.33,-3.67432,-0.4101,-0.508614,-2.08717,-0.508709
10.335,-4.41895,-0.292493,-0.763882,-2.32005,-0.60941
10.34,-4.73633,-0.134592,-0.841751,-2.55317,-0.69189
10.345,-4.84009,0.0334537,-0.674584,-2.78558,-0.754939
10.35,-4.3335,0.180417,-0.269757,-3.01634,-0.797991
10.355,-3.70483,0.279263,0.266797,-3.24449,-0.821102
10.36,-3.39966,0.311628,0.758769,-3.46906,-0.824944
10.365,-3.50952,0.271038,1.03009,-3.68913,-0.810763
10.37,-3.94897,0.163934,0.980781,-3.90375,-0.780223
10.375,-4.80957,0.00878207,0.628231,-4.11207,-0.735265
10.38,-5.71289,-0.166894,0.0968495,-4.31321,-0.678124
10.385,-6.27441,-0.330907,-0.435299,-4.50636,-0.611198
10.39,-6.75049,-0.451642,-0.80382,-4.69075,-0.536908
10.395,-7.1228,-0.503412,-0.910707,-4.86563,-0.457627
10.4,-7.28149,-0.470933,-0.748509,-5.03031,-0.375605
10.405,-7.04956,-0.35212,-0.394067,-5.18415,-0.292908
10.41,-6.41479,-0.158868,0.0213835,-5.32656,-0.211423
10.415,-5.56641,0.0842337,0.360113,-5.45705,-0.132702
10.42,-4.89502,0.343256,0.528568,-5.57516,-0.0578907
10.425,-4.71802,0.579998,0.511124,-5.68049,0.0121464
10.43,-4.93774,0.757595,0.369592,-5.77275,0.0768857
10.435,-5.50537,0.846123,0.202869,-5.85168,0.136173
10.44,-5.45044,0.827262,0.0872326,-5.91713,0.190097
10.445,-5.12085,0.697441,0.0337285,-5.96898,0.238846
10.45,-5.5542,0.468829,-0.00912177,-6.0072,0.282708
10.455,-6.2439,0.167855,-0.106393,-6.03185,0.322209
10.46,-7.03735,-0.168178,-0.27324,-6.04304,0.357962
10.465,-7.50732,-0.496177,-0.443889,-6.041,0.390516
10.47,-7.39746,-0.773271,-0.499802,-6.02598,0.420224
10.475,-7.4707,-0.962796,-0.347109,-5.99832,0.447284
10.48,-7.1228,-1.03939,0.00428209,-5.95841,0.471753
10.485,-6.12793,-0.99239,0.415674,-5.9067,0.493589
