sec,EEG
63.675,-32.7026
63.68,-34.1736
63.685,-36.322
63.69,-36.2305
63.695,-33.0139
63.7,-31.3599
63.705,-32.1655
63.71,-32.4158
63.715,-32.8613
63.72,-33.0994
63.725,-31.6467
63.73,-31.5979
63.735,-32.1899
63.74,-32.6111
63.745,-32.0557
63.75,-29.7424
63.755,-28.656
63.76,-29.3823
63.765,-31.665
63.77,-32.605
63.775,-30.0842
63.78,-27.6245
63.785,-26.4465
63.79,-28.5156
63.795,-30.5054
63.8,-30.0171
63.805,-28.6194
63.81,-24.7375
63.815,-24.408
63.82,-29.1382
63.825,-32.2693
63.83,-33.7708
63.835,-35.3699
63.84,-35.6445
63.845,-34.8511
63.85,-35.2722
63.855,-32.5378
63.86,-30.4138
63.865,-30.1331
63.87,-29.8218
63.875,-30.7861
63.88,-31.8054
63.885,-31.9092
63.89,-28.2959
63.895,-26.4709
63.9,-27.179
63.905,-28.2959
63.91,-29.7607
63.915,-31.0913
63.92,-29.0283
63.925,-26.9714
63.93,-27.1973
63.935,-27.6184
63.94,-27.2644
63.945,-26.1597
63.95,-24.0601
63.955,-20.9595
63.96,-17.7307
63.965,-16.4185
63.97,-18.1396
63.975,-20.6787
63.98,-22.9736
63.985,-24.2249
63.99,-24.6948
63.995,-23.5107
64,-20.9595
64.005,-19.5557
64.01,-19.2566
64.015,-20.7642
64.02,-23.7
64.025,-26.2939
64.03,-28.064
64.035,-25.592
64.04,-20.8313
64.045,-18.0908
64.05,-18.7866
64.055,-20.4407
64.06,-20.9717
64.065,-20.3369
64.07,-19.342
64.075,-18.042
64.08,-16.7542
64.085,-18.6157
64.09,-18.3899
64.095,-16.6443
64.1,-16.4368
64.105,-17.5903
64.11,-17.9321
64.115,-16.5344
64.12,-15.8569
64.125,-16.3513
64.13,-15.0879
64.135,-14.0015
64.14,-14.2395
64.145,-15.2832
64.15,-15.1978
64.155,-15.7898
64.16,-15.0208
64.165,-13.092
64.17,-13.3179
64.175,-14.2273
64.18,-12.1704
64.185,-9.82666
64.19,-9.13086
64.195,-9.0271
64.2,-7.8186
64.205,-5.35278
64.21,-3.66821
64.215,-4.32739
64.22,-3.88794
64.225,-2.12402
64.23,0.256348
64.235,0.0549316
64.24,-1.2207
64.245,-1.11694
64.25,-0.714111
64.255,-0.927734
64.26,-0.531006
64.265,-1.59302
64.27,-2.14844
64.275,-2.91138
64.28,-5.0415
64.285,-6.43921
64.29,-6.56738
64.295,-4.83398
64.3,-4.47388
64.305,-3.6499
64.31,-1.5686
64.315,-1.26343
64.32,-2.53296
64.325,-3.65601
64.33,-4.6814
64.335,-4.44336
64.34,-4.00391
64.345,-4.73022
64.35,-4.08936
64.355,-3.51563
64.36,-6.48193
64.365,-8.35571
64.37,-8.47778
64.375,-6.31714
64.38,-4.3335
64.385,-3.39355
64.39,-4.27856
64.395,-7.09839
64.4,-7.31812
64.405,-5.09033
64.41,-4.27246
64.415,-5.23682
64.42,-5.46265
64.425,-5.02319
64.43,-5.76172
64.435,-8.28857
64.44,-11.2244
64.445,-15.8752
64.45,-15.0757
64.455,-7.47681
64.46,-0.994873
64.465,2.6001
64.47,3.58887
64.475,3.36304
64.48,3.04565
64.485,2.94189
64.49,1.17798
64.495,-0.366211
64.5,0.305176
64.505,1.72119
64.51,1.12915
64.515,0.787354
64.52,-0.128174
64.525,-0.720215
64.53,1.12305
64.535,2.74048
64.54,3.33252
64.545,3.91846
64.55,4.5105
64.555,5.896
64.56,9.03931
64.565,11.3892
64.57,12.3291
64.575,14.6057
64.58,14.5874
64.585,16.3391
64.59,18.335
64.595,16.7908
64.6,22.7356
64.605,31.3721
64.61,39.6179
64.615,45.9839
64.62,48.8037
64.625,50.6287
64.63,55.1819
64.635,63.1165
64.64,66.3818
64.645,62.9395
64.65,58.7097
64.655,55.7861
64.66,51.8738
64.665,45.1233
64.67,36.084
64.675,26.8494
64.68,20.575
64.685,14.1968
64.69,8.30688
64.695,4.21753
64.7,0.78125
64.705,-2.63062
64.71,-9.17969
64.715,-17.2791
64.72,-20.0867
64.725,-20.4651
64.73,-19.458
64.735,-17.3462
64.74,-16.7786
64.745,-15.0879
64.75,-13.3057
64.755,-15.1306
64.76,-18.7195
64.765,-20.8069
64.77,-20.343
64.775,-19.7754
64.78,-20.0378
64.785,-18.7866
64.79,-17.8589
64.795,-16.8701
64.8,-14.032
64.805,-11.969
64.81,-13.6414
64.815,-14.801
64.82,-12.3535
64.825,-11.4075
64.83,-11.1206
64.835,-9.06372
64.84,-9.77173
64.845,-11.3098
64.85,-11.2366
64.855,-11.7065
64.86,-12.9272
64.865,-10.7727
64.87,-7.76978
64.875,-8.58765
64.88,-11.3892
64.885,-11.6394
64.89,-13.2263
64.895,-13.6475
64.9,-11.4929
64.905,-10.0525
64.91,-10.2173
64.915,-9.52759
64.92,-9.36279
64.925,-8.07495
64.93,-4.63867
64.935,-3.24707
