EEG,State
-11.0168,0
-11.8042,0
-8.19702,0
-6.45142,0
-3.22876,0
3.52173,0
8.6731,0
8.28247,0
13.1897,0
21.5149,0
29.5898,0
36.2854,0
36.7615,0
35.6995,0
37.4023,0
37.0789,0
28.2349,0
20.2942,0
21.5637,0
19.4519,0
16.1316,0
7.37915,0
-2.53906,0
-8.46558,0
-9.47266,0
-11.377,0
-13.324,0
-8.79517,0
-15.4724,0
-28.3997,0
-43.1946,0
-45.2148,0
-43.7256,0
-41.6931,0
-45.0317,0
-48.4741,0
-42.0471,0
-36.7126,0
-37.5916,0
-47.5098,0
-53.0701,0
-51.4709,0
-48.6816,0
-48.3948,0
-49.7253,0
-49.823,0
-48.5901,0
-48.9441,0
-48.7183,0
-45.3247,0
-41.217,0
-39.6851,0
-38.8611,0
-38.1226,0
-38.7268,0
-42.7734,0
-45.2576,0
-46.7773,0
-47.9553,0
-42.6453,0
-41.0095,0
-42.981,0
-43.8293,0
-45.0134,0
-44.397,0
-36.4197,0
-28.772,0
-19.6045,0
-12.6587,0
-11.4014,0
-9.21631,0
-7.22656,0
-7.67822,0
-9.00879,0
-11.4624,0
-10.3333,0
-6.87866,0
-6.05469,0
-7.75757,0
-12.6038,0
-13.2385,0
-9.30176,0
-5.71899,0
-5.46265,0
-7.47681,0
-8.95386,0
-9.93042,0
-7.55005,0
-6.26221,0
-7.70264,0
-7.02515,0
-2.55127,0
-2.20947,0
-4.92554,0
-6.04248,0
-6.427,0
-3.79028,0
-1.2085,0
-0.37231,0
0.939941,0
3.54614,0
6.87866,0
5.07202,0
2.92358,0
2.02637,0
3.28979,0
4.96826,0
1.20239,0
-2.19727,0
-0.76904,0
-0.49439,0
4.22363,0
11.0718,0
13.6047,0
11.2854,0
7.50122,0
7.47681,0
11.6333,0
13.2263,0
10.4248,0
4.79736,0
2.771,0
5.42603,0
7.36694,0
5.65186,0
3.88184,0
4.31519,0
4.61426,0
-0.97656,0
-4.05273,0
-3.84521,0
-1.74561,0
3.67432,0
6.00586,0
6.47583,0
7.24487,0
6.19507,0
4.52881,0
5.29175,0
7.55005,0
10.6201,0
11.499,0
9.42993,0
10.0525,0
11.6638,0
5.76172,0
2.89307,0
3.16772,0
4.91333,0
8.00781,0
9.58862,0
6.39038,0
6.78711,0
9.42993,0
7.44019,0
6.40869,0
5.76782,0
10.5103,0
13.7268,0
15.1489,0
12.3901,0
8.6731,0
4.63257,0
2.94189,0
8.27637,0
14.3677,0
13.3667,0
15.6677,0
17.3218,0
17.4377,0
22.3755,0
26.9287,0
27.002,0
26.1597,0
27.2644,0
28.7415,0
26.9287,0
24.3164,0
22.7295,0
24.4385,0
23.6694,0
21.6064,0
24.8962,0
25.177,0
25.0244,0
25.7751,0
25.1709,0
21.2708,0
20.2332,0
20.1538,0
22.1069,0
23.4253,0
22.0032,0
20.5322,0
22.5342,0
18.0237,0
13.7573,0
17.6147,0
17.8711,0
14.7034,0
16.1682,0
12.5854,0
11.9751,0
15.1001,0
18.4326,0
18.1519,0
15.0696,0
13.855,0
12.3352,0
8.56934,0
7.65991,0
9.61914,0
7.02515,0
5.98145,0
4.6814,0
1.92261,0
2.34375,0
4.69971,0
7.2937,0
4.48608,0
2.84424,0
3.57056,0
6.55518,0
8.69751,0
5.95093,0
8.34961,0
8.97827,0
7.03125,0
9.90601,0
7.93457,0
4.02832,0
5.5481,0
10.5713,0
10.8276,0
7.33032,0
5.05371,0
4.88281,0
4.18701,0
5.3772,0
10.3271,0
14.0747,0
10.8948,0
10.2417,0
11.2671,0
11.8469,0
13.0127,0
13.1042,0
19.7021,0
21.5332,0
17.3157,0
23.2849,0
24.823,0
25.177,0
29.4067,0
30.6274,0
25.4761,0
19.7937,0
21.0449,0
21.8018,0
23.114,0
23.8892,0
18.4448,0
19.3604,0
21.5881,0
17.2302,0
17.865,0
17.8589,0
14.7644,0
19.8792,0
21.3806,0
14.1724,0
