sec,EEG,alpha,beta,delta,theta 
12.595,3.97949,0.00682187,0.174309,3.86622,0.0663165
12.6,3.20435,-0.142453,-0.041761,3.83148,0.0946591
12.605,2.92969,-0.270153,-0.242235,3.79873,0.114665
12.61,2.93579,-0.359125,-0.334708,3.76784,0.125749
12.615,2.67334,-0.397518,-0.278943,3.73867,0.127806
12.62,2.88086,-0.380587,-0.117208,3.71103,0.121312
12.625,3.50342,-0.311032,0.047977,3.68475,0.107152
12.63,3.43018,-0.198553,0.118863,3.65968,0.0864914
12.635,2.87476,-0.058762,0.068571,3.63562,0.0608611
12.64,2.97241,0.0890301,-0.0414392,3.61238,0.0320742
12.645,3.57666,0.224651,-0.105852,3.58974,0.00207336
12.65,3.78418,0.329827,-0.0530467,3.56751,-0.0272348
12.655,3.35083,0.39061,0.0999524,3.54551,-0.0539577
12.66,3.26538,0.399212,0.253317,3.52351,-0.0761552
12.665,3.95508,0.355085,0.290757,3.50132,-0.0921817
12.67,3.79028,0.265109,0.160545,3.47874,-0.100896
12.675,2.86865,0.142272,-0.0831723,3.45559,-0.101486
12.68,2.2583,0.0035669,-0.307864,3.43167,-0.093475
12.685,2.34985,-0.132087,-0.383501,3.40676,-0.0769137
12.69,2.66724,-0.246438,-0.26287,3.3807,-0.0523772
12.695,2.70386,-0.324745,-0.0100201,3.3533,-0.0208558
12.7,2.67944,-0.357873,0.237625,3.32438,0.0163942
12.705,2.99683,-0.343231,0.348458,3.29376,0.0576525
12.71,3.27759,-0.284928,0.269112,3.26131,0.100764
12.715,3.06396,-0.193203,0.0492466,3.22687,0.143532
12.72,3.1189,-0.0828308,-0.192051,3.19031,0.183844
12.725,3.72314,0.0293455,-0.333352,3.15149,0.219542
12.73,3.77808,0.127079,-0.311284,3.11032,0.24849
12.735,3.69263,0.196933,-0.144907,3.06666,0.268763
12.74,4.05273,0.230223,0.0829183,3.02043,0.278886
12.745,4.94995,0.224331,0.269732,2.97152,0.277805
12.75,5.13916,0.18313,0.339534,2.91988,0.264879
12.755,4.25415,0.116021,0.271762,2.86544,0.239977
12.76,3.6377,0.0361926,0.103725,2.80815,0.203604
12.765,3.8147,-0.0413279,-0.0908692,2.74796,0.156747
12.77,3.85132,-0.102183,-0.234959,2.68486,0.100749
12.775,3.04565,-0.135182,-0.278734,2.61885,0.0374993
12.78,2.44751,-0.134154,-0.217837,2.54993,-0.0305196
12.785,2.9541,-0.0988176,-0.0921056,2.4781,-0.100613
12.79,3.20435,-0.0348018,0.0365228,2.40342,-0.170053
12.795,2.56958,0.0469641,0.115225,2.32591,-0.236057
12.8,2.28882,0.131816,0.124811,2.24563,-0.295814
12.805,2.58789,0.203789,0.0833067,2.16265,-0.34673
12.81,2.55127,0.248389,0.0284123,2.07706,-0.386584
12.815,1.95923,0.254826,-0.00782323,1.98899,-0.41354
12.82,1.33057,0.217787,-0.0162378,1.89853,-0.426117
12.825,1.34888,0.138795,-0.00960506,1.80582,-0.423428
12.83,1.49536,0.0262156,-0.00434896,1.711,-0.405246
12.835,1.00098,-0.105957,-0.00212247,1.61425,-0.372014
12.84,0.366211,-0.239969,0.0119607,1.51572,-0.3247
12.845,0.384521,-0.356682,0.0509276,1.41556,-0.264876
12.85,0.646973,-0.438117,0.101783,1.31398,-0.194713
12.855,0.152588,-0.470329,0.12124,1.21117,-0.116742
12.86,-0.10376,-0.445723,0.060922,1.10732,-0.0337193
12.865,0.445557,-0.364064,-0.091296,1.00266,0.0513256
12.87,0.604248,-0.232621,-0.283252,0.897413,0.135146
12.875,0.115967,-0.0657333,-0.411399,0.791826,0.21456
12.88,0.10376,0.116975,-0.375087,0.686133,0.286629
12.885,0.90332,0.293434,-0.14356,0.580572,0.348674
12.89,1.76392,0.44211,0.208576,0.4754,0.398327
12.895,1.61133,0.54461,0.527137,0.370882,0.433757
12.9,1.46484,0.588029,0.654622,0.267269,0.453808
12.905,1.55029,0.566749,0.515288,0.164819,0.457852
12.91,1.01318,0.483284,0.160213,0.0638056,0.445667
12.915,-0.311279,0.347729,-0.25528,-0.0355136,0.417742
12.92,-0.872803,0.176337,-0.551152,-0.132903,0.375313
12.925,-0.915527,-0.0106467,-0.612536,-0.228121,0.320111
12.93,-1.12305,-0.191499,-0.439814,-0.320918,0.254243
12.935,-1.59302,-0.346132,-0.134902,-0.411048,0.180192
12.94,-1.69067,-0.458548,0.161232,-0.498289,0.100906
12.945,-1.2085,-0.518411,0.337352,-0.58243,0.0193772
12.95,-1.11694,-0.522042,0.354076,-0.663259,-0.0615114
12.955,-1.86157,-0.472586,0.244161,-0.740585,-0.138935
12.96,-2.17285,-0.379414,0.0811593,-0.814233,-0.2102
12.965,-1.7395,-0.256395,-0.0601895,-0.88404,-0.272918
12.97,-1.45874,-0.119584,-0.131843,-0.949856,-0.325217
12.975,-1.94702,0.0148542,-0.121551,-1.01156,-0.365682
12.98,-1.96533,0.132644,-0.0492028,-1.06905,-0.393216
12.985,-1.22681,0.22321,0.0426548,-1.12224,-0.407239
12.99,-1.0437,0.280759,0.10366,-1.17104,-0.407887
12.995,-1.25732,0.304396,0.0947169,-1.21541,-0.395739
13,-1.33667,0.297461,0.00751065,-1.25533,-0.371717
13.005,-1.0376,0.266755,-0.125194,-1.29081,-0.337284
13.01,-0.866699,0.221045,-0.237024,-1.32186,-0.294327
13.015,-1.12915,0.169297,-0.257423,-1.34853,-0.244841
13.02,-1.27563,0.119123,-0.15043,-1.3709,-0.190807
13.025,-0.457764,0.0758401,0.055372,-1.38907,-0.134332
13.03,0.262451,0.0419582,0.26939,-1.40315,-0.0775686
13.035,-0.158691,0.017026,0.381744,-1.41329,-0.0225067
13.04,-0.488281,-0.00200504,0.323401,-1.41969,0.0292044
13.045,-0.250244,-0.0195562,0.110885,-1.42254,0.0762772
13.05,-0.488281,-0.0399901,-0.154296,-1.42206,0.117602
13.055,-0.958252,-0.0667052,-0.335597,-1.41847,0.152408
13.06,-1.17188,-0.101193,-0.337249,-1.41206,0.180423
13.065,-0.817871,-0.142309,-0.162768,-1.40311,0.201712
13.07,-0.488281,-0.186072,0.0819259,-1.39191,0.216586
13.075,-0.830078,-0.226246,0.248556,-1.37877,0.225546
13.08,-1.17188,-0.255469,0.235514,-1.36405,0.229336
13.085,-0.90332,-0.266255,0.0523852,-1.34808,0.228845
13.09,-0.860596,-0.252234,-0.181112,-1.33121,0.224922
13.095,-1.30005,-0.209771,-0.305943,-1.31379,0.218479
13.1,-1.40991,-0.139136,-0.22248,-1.2962,0.210479
13.105,-0.970459,-0.0446277,0.0422616,-1.27884,0.201669
13.11,-0.500488,0.0656701,0.342613,-1.26206,0.192493
13.115,-0.494385,0.180473,0.496544,-1.24623,0.183251
13.12,-0.335693,0.286462,0.393668,-1.23173,0.174195
13.125,-0.32959,0.370134,0.0644439,-1.21893,0.165314
13.13,-0.952148,0.419851,-0.332797,-1.20818,0.156214
13.135,-1.81274,0.427351,-0.597502,-1.19979,0.146237
13.14,-1.97144,0.388905,-0.594877,-1.1941,0.134765
13.145,-1.00708,0.306283,-0.325398,-1.19143,0.121119
13.15,-0.341797,0.186973,0.0820348,-1.19207,0.104442
13.155,-0.98877,0.0432791,0.442478,-1.19627,0.083948
13.16,-1.48926,-0.10911,0.607633,-1.20432,0.059086
13.165,-1.22681,-0.252803,0.527961,-1.21643,0.0295063
13.17,-1.25122,-0.370886,0.258632,-1.23278,-0.00505987
13.175,-2.14233,-0.449164,-0.078768,-1.25353,-0.0445701
13.18,-2.84424,-0.478053,-0.354379,-1.27882,-0.088545
13.185,-2.80762,-0.453766,-0.477762,-1.30875,-0.136184
13.19,-2.58789,-0.378667,-0.421874,-1.34337,-0.186502
13.195,-2.74658,-0.261227,-0.221593,-1.38269,-0.238109
13.2,-2.82593,-0.115337,0.0426124,-1.42673,-0.289223
13.205,-2.16675,0.0416787,0.270396,-1.47544,-0.337913
13.21,-1.76392,0.191362,0.375243,-1.52875,-0.382254
13.215,-2.02637,0.316165,0.319512,-1.58654,-0.420251
13.22,-2.50244,0.401661,0.133777,-1.64866,-0.449762
13.225,-2.58789,0.438281,-0.0935097,-1.71495,-0.468839
13.23,-2.49634,0.422636,-0.255693,-1.78517,-0.475913
13.235,-2.93579,0.357792,-0.279589,-1.85909,-0.469735
13.24,-3.19824,0.252632,-0.162488,-1.93644,-0.44934
13.245,-2.52686,0.120916,0.0286186,-2.01692,-0.414242
13.25,-2.38647,-0.0204008,0.195067,-2.10019,-0.364616
13.255,-3.00903,-0.153594,0.260972,-2.1859,-0.301255
13.26,-3.24097,-0.262563,0.20964,-2.27368,-0.225402
13.265,-2.99072,-0.334631,0.0800832,-2.36317,-0.138924
13.27,-2.89307,-0.362023,-0.065763,-2.45393,-0.044277
13.275,-2.98462,-0.342896,-0.179179,-2.54556,0.0558369
13.28,-3.41187,-0.281531,-0.239092,-2.63764,0.158513
13.285,-3.02734,-0.187498,-0.241939,-2.72976,0.260526
13.29,-2.23389,-0.0739913,-0.183502,-2.82149,0.358368
13.295,-2.36206,0.0436566,-0.0569779,-2.91237,0.448538
13.3,-2.22168,0.149882,0.127287,-3.00198,0.527848
13.305,-1.47095,0.231227,0.319121,-3.08991,0.593408
13.31,-0.982666,0.278114,0.430713,-3.17575,0.642649
13.315,-1.66626,0.285921,0.379356,-3.25912,0.673488
13.32,-2.20947,0.255341,0.148297,-3.33966,0.684592
13.325,-2.10571,0.192192,-0.180538,-3.41704,0.67544
13.33,-2.16064,0.106466,-0.452823,-3.49094,0.646041
13.335,-2.81982,0.0108005,-0.523369,-3.56105,0.59711
13.34,-3.19214,-0.081519,-0.34557,-3.62713,0.530197
13.345,-2.93579,-0.158234,-0.00859722,-3.68897,0.447462
13.35,-2.68555,-0.209638,0.308646,-3.74635,0.351578
13.355,-2.63672,-0.230045,0.443013,-3.79914,0.245718
13.36,-2.88696,-0.218377,0.343144,-3.84722,0.133556
13.365,-3.14941,-0.178128,0.0936165,-3.89054,0.0189274
13.37,-3.60718,-0.116417,-0.14702,-3.92909,-0.0943584
13.375,-4.30908,-0.0429727,-0.250118,-3.96286,-0.202606
13.38,-4.27246,0.0312829,-0.192101,-3.99195,-0.302237
13.385,-3.57666,0.0960156,-0.051452,-4.01646,-0.390007
13.39,-3.32642,0.143081,0.0615029,-4.03655,-0.463318
13.395,-4.04053,0.167536,0.0874245,-4.05242,-0.520214
13.4,-4.59595,0.167881,0.0500083,-4.06431,-0.559231
13.405,-4.19922,0.146285,0.0178883,-4.07253,-0.579655
13.41,-3.97949,0.108197,0.0360228,-4.07739,-0.581688
13.415,-4.19312,0.0611363,0.0845781,-4.07926,-0.56622
13.42,-4.60815,0.0131823,0.0989027,-4.07855,-0.534632
13.425,-4.44946,-0.0281857,0.0313042,-4.07569,-0.488995
13.43,-4.09546,-0.0571843,-0.0991728,-4.07113,-0.431978
13.435,-4.71191,-0.0708087,-0.210462,-4.06533,-0.366559
13.44,-4.90112,-0.0692926,-0.216333,-4.05883,-0.295862
13.445,-4.45557,-0.0557919,-0.095227,-4.05213,-0.223134
13.45,-3.91235,-0.0354623,0.087675,-4.04576,-0.151742
13.455,-3.93066,-0.0145339,0.225617,-4.04024,-0.0848725
13.46,-4.15039,0.000864639,0.245937,-4.0361,-0.0252036
13.465,-3.84521,0.00598612,0.157654,-4.0339,0.0249701
13.47,-3.60718,-0.00144317,0.0358834,-4.03414,0.0638104
13.475,-4.37622,-0.0207555,-0.0423372,-4.03733,0.090079
13.48,-4.85229,-0.0485212,-0.0574255,-4.04396,0.103335
13.485,-4.15039,-0.0789063,-0.0547655,-4.0545,0.103925
13.49,-3.73535,-0.104502,-0.0941585,-4.06938,0.0926662
13.495,-4.35791,-0.117831,-0.184051,-4.08899,0.0709959
13.5,-5.0293,-0.112962,-0.25839,-4.11371,0.0410196
13.505,-5.16968,-0.0865749,-0.220486,-4.14387,0.00518962
13.51,-4.76074,-0.0386892,-0.0234303,-4.17975,-0.0338855
13.515,-4.43115,0.0268806,0.275047,-4.22157,-0.0733661
13.52,-4.22363,0.102518,0.52918,-4.26951,-0.110288
13.525,-4.05884,0.177936,0.586665,-4.32371,-0.141729
13.53,-4.55933,0.241734,0.381887,-4.38422,-0.165136
13.535,-5.54199,0.282852,-0.0188585,-4.45105,-0.178423
13.54,-6.18896,0.292211,-0.448825,-4.52414,-0.179847
13.545,-5.76172,0.264699,-0.726724,-4.6034,-0.168206
13.55,-5.45044,0.200258,-0.740975,-4.68862,-0.143125
13.555,-5.88379,0.10401,-0.489269,-4.77956,-0.104965
13.56,-6.0791,-0.0141182,-0.0641275,-4.87593,-0.054695
13.565,-5.65796,-0.14041,0.393355,-4.97736,0.00607324
13.57,-4.98657,-0.258929,0.740744,-5.08343,0.0749754
13.575,-4.92554,-0.353769,0.868944,-5.19362,0.149127
13.58,-5.34668,-0.411563,0.727242,-5.30742,0.225327
13.585,-5.60303,-0.423234,0.342008,-5.42425,0.300137
13.59,-6.09131,-0.385253,-0.177206,-5.54344,0.369889
13.595,-6.82373,-0.300463,-0.657545,-5.66432,0.430944
13.6,-7.07397,-0.178142,-0.920128,-5.78617,0.479939
13.605,-6.32935,-0.032687,-0.858359,-5.90823,0.513875
13.61,-5.50537,0.118403,-0.496033,-6.02973,0.530149
13.615,-5.58472,0.256578,0.0153805,-6.14984,0.526795
13.62,-5.28564,0.364722,0.466429,-6.26775,0.502769
13.625,-4.5166,0.429573,0.691036,-6.38263,0.457871
13.63,-4.40063,0.443515,0.643499,-6.49363,0.392626
13.635,-5.22461,0.405513,0.406072,-6.59993,0.308408
13.64,-5.93262,0.321212,0.127018,-6.7007,0.207534
13.645,-6.34155,0.20211,-0.069708,-6.79513,0.0930435
13.65,-6.44531,0.0641385,-0.145683,-6.88245,-0.0315216
13.655,-6.95801,-0.0746042,-0.145917,-6.96188,-0.162142
13.66,-7.69043,-0.196667,-0.147118,-7.03273,-0.294251
13.665,-7.64771,-0.287446,-0.196423,-7.09432,-0.423138
13.67,-7.69043,-0.336826,-0.280803,-7.14603,-0.544199
13.675,-8.21533,-0.340707,-0.339925,-7.18728,-0.652978
13.68,-8.44727,-0.301482,-0.307871,-7.21756,-0.745221
13.685,-7.82471,-0.227392,-0.155177,-7.23645,-0.817206
13.69,-6.9519,-0.13099,0.0924356,-7.24358,-0.866105
13.695,-6.90308,-0.0272594,0.36322,-7.23862,-0.889873
13.7,-7.03735,0.0683764,0.565868,-7.22139,-0.887151
13.705,-6.36597,0.142492,0.620929,-7.19174,-0.857638
13.71,-5.62744,0.185714,0.48754,-7.14962,-0.802147
13.715,-6.15845,0.193761,0.183692,-7.09506,-0.722455
13.72,-6.97021,0.167708,-0.207321,-7.02817,-0.621072
13.725,-6.82983,0.113921,-0.555489,-6.94917,-0.501225
13.73,-6.29883,0.0429628,-0.728889,-6.85833,-0.366968
13.735,-6.21338,-0.0322695,-0.651676,-6.75602,-0.222972
13.74,-6.20117,-0.0986869,-0.345885,-6.64269,-0.0741441
13.745,-5.59082,-0.144811,0.0699746,-6.51889,0.0744711
13.75,-4.59595,-0.162467,0.430302,-6.38522,0.217781
13.755,-4.11377,-0.148226,0.600623,-6.24236,0.350817
13.76,-4.09546,-0.103955,0.539406,-6.09107,0.469099
13.765,-3.90625,-0.0362567,0.308086,-5.93217,0.568738
13.77,-4.04663,0.0447704,0.0270717,-5.76652,0.646477
13.775,-4.54712,0.126988,-0.19097,-5.59505,0.699965
13.78,-4.3457,0.197708,-0.290792,-5.41873,0.727905
13.785,-3.88794,0.245681,-0.281658,-5.23857,0.729961
13.79,-3.72314,0.262942,-0.207857,-5.05558,0.706634
13.795,-4.13818,0.245755,-0.111237,-4.87083,0.659395
13.8,-4.64478,0.194963,-0.0135069,-4.68537,0.590741
13.805,-4.38843,0.116105,0.0748929,-4.50029,0.503953
13.81,-3.9856,0.0185164,0.139755,-4.31664,0.402832
13.815,-4.57764,-0.0861257,0.161075,-4.13544,0.291669
13.82,-5.12085,-0.185468,0.128485,-3.95772,0.175295
13.825,-4.89502,-0.268082,0.056479,-3.78451,0.0586712
13.83,-4.90112,-0.324567,-0.0180195,-3.61672,-0.0534743
13.835,-5.2002,-0.348811,-0.0580488,-3.45523,-0.156718
13.84,-5.64575,-0.338688,-0.0535691,-3.30089,-0.246995
13.845,-5.34668,-0.296075,-0.0281357,-3.15448,-0.320828
13.85,-4.71802,-0.226225,-0.0173376,-3.01668,-0.375565
13.855,-4.77905,-0.136816,-0.0352674,-2.88809,-0.409429
13.86,-4.99268,-0.0371869,-0.0589005,-2.76926,-0.421435
13.865,-4.74854,0.0629793,-0.0481908,-2.66063,-0.411526
13.87,-4.37622,0.155016,0.0140682,-2.56254,-0.380743
13.875,-4.35791,0.231795,0.0979535,-2.47521,-0.331058
13.88,-4.23584,0.288076,0.142484,-2.39881,-0.265097
13.885,-3.71094,0.320902,0.103355,-2.33337,-0.1862
13.89,-3.4729,0.329646,-0.00492983,-2.27882,-0.0983281
13.895,-3.84521,0.315497,-0.109574,-2.23495,-0.00581295
13.9,-4.3335,0.280972,-0.131276,-2.20149,0.0870073
13.905,-3.85132,0.229376,-0.0499015,-2.17804,0.175838
13.91,-3.00293,0.164558,0.0718721,-2.16411,0.256389
13.915,-3.125,0.0907263,0.131904,-2.15907,0.324711
13.92,-3.4729,0.0119578,0.0695899,-2.16222,0.377552
13.925,-3.41797,-0.0676525,-0.0779983,-2.1728,0.41239
13.93,-3.17993,-0.1437,-0.195024,-2.18993,0.427322
13.935,-3.28979,-0.211601,-0.172586,-2.21266,0.421246
13.94,-3.1311,-0.267009,0.0018956,-2.23997,0.39411
13.945,-2.61841,-0.305792,0.221468,-2.27081,0.346839
13.95,-2.03857,-0.324185,0.328771,-2.30402,0.281067
13.955,-2.14233,-0.319449,0.232191,-2.33844,0.199152
13.96,-2.34375,-0.290527,-0.0190356,-2.37285,0.104296
13.965,-2.22778,-0.238225,-0.26125,-2.40606,0.000272541
13.97,-2.09961,-0.16545,-0.330441,-2.43682,-0.108894
13.975,-1.70288,-0.0773385,-0.181438,-2.46388,-0.218977
13.98,-1.28174,0.0189713,0.0772963,-2.48605,-0.325631
13.985,-0.457764,0.115138,0.261372,-2.50215,-0.424706
13.99,-0.10376,0.202604,0.243813,-2.51102,-0.512546
13.995,-0.408936,0.273374,0.0467222,-2.51156,-0.58598
14,-0.683594,0.320922,-0.175986,-2.50276,-0.642368
14.005,-0.360107,0.341139,-0.253383,-2.48366,-0.679685
14.01,0.482178,0.333119,-0.125068,-2.45342,-0.696827
14.015,0.457764,0.29924,0.113975,-2.41125,-0.6936
14.02,0.390625,0.244455,0.283396,-2.35649,-0.670468
14.025,0.683594,0.175844,0.249659,-2.28861,-0.628612
14.03,0.738525,0.101794,0.0247439,-2.20718,-0.570088
14.035,0.0976563,0.0304759,-0.238778,-2.11189,-0.497586
14.04,-0.43335,-0.0313593,-0.351635,-2.00259,-0.414124
14.045,0.012207,-0.0792027,-0.218872,-1.87928,-0.322947
14.05,0.817871,-0.111306,0.0924284,-1.74211,-0.227538
14.055,0.927734,-0.128704,0.394974,-1.59135,-0.131344
14.06,0.500488,-0.135118,0.497568,-1.42744,-0.0374765
14.065,0.610352,-0.135966,0.320184,-1.251,0.051256
14.07,0.585938,-0.136877,-0.060755,-1.06275,0.132303
14.075,0.0610352,-0.142469,-0.456727,-0.863585,0.20373
14.08,-0.317383,-0.155396,-0.6691,-0.654566,0.264406
14.085,0.201416,-0.175459,-0.588162,-0.436889,0.313934
14.09,0.848389,-0.199202,-0.241096,-0.211875,0.352496
14.095,0.878906,-0.220164,0.227783,0.0190219,0.38088
14.1,0.872803,-0.23021,0.62559,0.254208,0.400565
14.105,1.25732,-0.220891,0.791754,0.491978,0.413505
14.11,1.58691,-0.184891,0.661616,0.730538,0.421806
14.115,1.08032,-0.11776,0.289912,0.968007,0.427705
14.12,0.170898,-0.0195651,-0.173614,1.20241,0.433602
14.125,-0.0671387,0.104451,-0.547569,1.4317,0.441739
14.13,0.115967,0.243839,-0.697001,1.65382,0.453851
14.135,-0.0793457,0.383756,-0.589572,1.86668,0.471122
14.14,-0.12207,0.506549,-0.30232,2.06813,0.494277
14.145,0.799561,0.594111,0.0242647,2.25607,0.523296
14.15,1.43433,0.630665,0.260923,2.42838,0.557249
14.155,0.836182,0.6051,0.351266,2.58302,0.594414
14.16,0.140381,0.512932,0.323689,2.71795,0.632396
14.165,0.299072,0.357697,0.252736,2.83124,0.668128
14.17,0.341797,0.151509,0.199807,2.92103,0.697869
14.175,-0.115967,-0.0860975,0.173477,2.98561,0.717351
14.18,-0.811768,-0.33038,0.135551,3.02336,0.722236
14.185,-1.15967,-0.554074,0.0417076,3.03281,0.708353
14.19,-1.15356,-0.730571,-0.115506,3.01266,0.671684
14.195,-1.60522,-0.837535,-0.291021,2.9618,0.608733
14.2,-2.14233,-0.86002,-0.409092,2.87928,0.51686
14.205,-1.9104,-0.792633,-0.406493,2.76435,0.394362
14.21,-1.16577,-0.640369,-0.269489,2.61648,0.240611
14.215,-0.830078,-0.418467,-0.0400005,2.43539,0.0563133
14.22,-0.506592,-0.150992,0.205361,2.221,-0.156201
14.225,0.177002,0.132254,0.387958,1.97348,-0.393018
14.23,0.57373,0.399651,0.454562,1.69325,-0.648926
14.235,0.415039,0.621437,0.391112,1.38102,-0.9174
14.24,0.384521,0.7732,0.222338,1.03769,-1.19051
14.245,0.579834,0.839156,0.000548653,0.664477,-1.45924
14.25,0.280762,0.814206,-0.209666,0.262835,-1.71402
14.255,-0.543213,0.704247,-0.349402,-0.165512,-1.94482
14.26,-1.36719,0.525017,-0.381774,-0.618599,-2.14154
14.265,-1.58691,0.299975,-0.302739,-1.09423,-2.29448
14.27,-1.30615,0.0571462,-0.141541,-1.58994,-2.39471
14.275,-1.51367,-0.174545,0.0503621,-2.10305,-2.43442
14.28,-2.31934,-0.369138,0.215332,-2.63067,-2.40726
14.285,-2.65503,-0.506893,0.304229,-3.16974,-2.30879
14.29,-2.58179,-0.576206,0.287076,-3.71695,-2.13694
14.295,-2.81372,-0.574833,0.164146,-4.26886,-1.89203
14.3,-3.32031,-0.509762,-0.0268783,-4.82185,-1.57664
14.305,-3.32642,-0.39557,-0.215995,-5.37221,-1.19585
14.31,-2.7832,-0.251877,-0.323822,-5.91607,-0.757493
14.315,-2.948,-0.100253,-0.298529,-6.44945,-0.271808
14.32,-3.22266,0.0386938,-0.149658,-6.96834,0.248964
14.325,-2.70386,0.148177,0.0474353,-7.46871,0.7908
14.33,-1.88599,0.217573,0.188023,-7.94648,1.33812
14.335,-2.14233,0.243435,0.200948,-8.39755,1.87441
14.34,-2.6062,0.229146,0.0975362,-8.81787,2.38289
14.345,-2.52075,0.183857,-0.0338278,-9.20345,2.84701
14.35,-2.45972,0.120773,-0.088896,-9.55038,3.25083
14.355,-2.99683,0.0546172,-0.0267028,-9.85484,3.5797
14.36,-3.60107,-0.00114678,0.0932286,-10.1132,3.82096
14.365,-3.50952,-0.036468,0.147429,-10.3218,3.96433
14.37,-3.37524,-0.0460884,0.039536,-10.4775,4.00217
14.375,-4.24194,-0.0302264,-0.213873,-10.577,3.92982
14.38,-5.44434,0.00558246,-0.472429,-10.6175,3.74607
14.385,-6.22559,0.0517085,-0.553034,-10.5963,3.45328
14.39,-6.53687,0.0965619,-0.352817,-10.5109,3.05713
14.395,-6.9519,0.128609,0.0689125,-10.3593,2.56664
14.4,-7.4585,0.138315,0.509127,-10.1397,1.99419
14.405,-7.65991,0.120243,0.73417,-9.85048,1.35507
14.41,-8.53882,0.0742894,0.616032,-9.49058,0.666775
14.415,-10.8643,0.00580308,0.207037,-9.05914,-0.0514299
14.42,-12.6465,-0.0752659,-0.289841,-8.55568,-0.778986
14.425,-13.2263,-0.155897,-0.636594,-7.98008,-1.49473
14.43,-13.2935,-0.221895,-0.687573,-7.33259,-2.17767
14.435,-13.4888,-0.260304,-0.453304,-6.6138,-2.80763
14.44,-14.0259,-0.262008,-0.0748559,-5.82471,-3.36581
14.445,-13.8428,-0.223309,0.262538,-4.96668,-3.83537
14.45,-13.0554,-0.14659,0.421096,-4.0414,-4.20233
14.455,-12.207,-0.0405514,0.362672,-3.05091,-4.45584
14.46,-11.5173,0.0806676,0.146288,-1.99765,-4.58829
14.465,-10.6812,0.19943,-0.11289,-0.88438,-4.59564
14.47,-9.10034,0.297275,-0.298241,0.285842,-4.47782
14.475,-7.82471,0.357713,-0.335611,1.50964,-4.23863
14.48,-6.4209,0.368574,-0.216292,2.78333,-3.88545
14.485,-3.93677,0.324093,0.00414041,4.10295,-3.42904
14.49,-1.09863,0.226405,0.228761,5.46428,-2.8833
14.495,1.23901,0.0855964,0.358601,6.86287,-2.26469
14.5,3.13721,-0.0815254,0.334157,8.29406,-1.5917
14.505,5.37109,-0.253204,0.159515,9.75299,-0.884188
14.51,7.88574,-0.40539,-0.100973,11.2346,-0.162855
14.515,10.1685,-0.515203,-0.349983,12.7339,0.551498
14.52,12.561,-0.564269,-0.495265,14.2454,1.23878
14.525,15.4114,-0.541256,-0.482495,15.764,1.88008
14.53,18.7073,-0.443598,-0.309349,17.2841,2.45804
14.535,21.5637,-0.278235,-0.0226503,18.8004,2.95762
14.54,23.8647,-0.0614943,0.294067,20.3074,3.36658
14.545,26.6235,0.182612,0.538534,21.7998,3.6758
14.55,29.4922,0.425316,0.617139,23.2723,3.87929
14.555,31.3293,0.636516,0.480124,24.7195,3.97435
14.56,32.489,0.788223,0.153717,26.1365,3.96172
14.565,33.9905,0.858294,-0.253475,27.5181,3.84539
14.57,35.321,0.833542,-0.585116,28.8596,3.6322
14.575,35.7788,0.711601,-0.703703,30.1563,3.33164
14.58,36.499,0.501448,-0.558497,31.4039,2.95557
14.585,37.9211,0.222814,-0.214779,32.5982,2.51778
14.59,39.6423,-0.0956739,0.177497,33.7351,2.03318
14.595,40.2466,-0.419837,0.459702,34.8112,1.5173
14.6,40.0818,-0.713724,0.540325,35.823,0.986043
14.605,40.4358,-0.943623,0.427082,36.7674,0.455061
14.61,40.8936,-1.08176,0.201581,37.6417,-0.0608605
14.615,41.3208,-1.10976,-0.0365715,38.4435,-0.548205
14.62,41.4246,-1.02114,-0.216541,39.1707,-0.994948
14.625,41.7419,-0.822221,-0.310292,39.8215,-1.39097
14.63,42.749,-0.531522,-0.318434,40.3946,-1.72844
14.635,42.9077,-0.177831,-0.251025,40.889,-2.00194
14.64,42.981,0.202566,-0.122632,41.3038,-2.20817
14.645,44.043,0.569934,0.0372794,41.6388,-2.34604
14.65,45.0317,0.885655,0.178989,41.8939,-2.41677
14.655,44.8914,1.11627,0.249104,42.0694,-2.42366
14.66,44.4336,1.23698,0.221214,42.1661,-2.37167
14.665,44.0796,1.23444,0.116819,42.1848,-2.26718
14.67,43.8477,1.10842,-0.00567766,42.1269,-2.11778
14.675,43.3838,0.871905,-0.0889102,41.9938,-1.93184
14.68,42.0593,0.549365,-0.112594,41.7874,-1.71801
14.685,40.9424,0.174178,-0.0996303,41.5099,-1.48497
14.69,40.2527,-0.214818,-0.0868646,41.1635,-1.24128
14.695,39.1724,-0.577651,-0.0835421,40.751,-0.995003
14.7,37.9395,-0.877703,-0.0582817,40.2749,-0.753206
14.705,36.7065,-1.0856,0.0285463,39.7384,-0.521851
14.71,35.8948,-1.18197,0.172556,39.1445,-0.305909
14.715,35.022,-1.15938,0.300574,38.4965,-0.109144
14.72,34.198,-1.02307,0.305525,37.7979,0.0660502
14.725,33.3618,-0.79009,0.124711,37.0522,0.218603
14.73,32.5745,-0.487061,-0.193087,36.2629,0.348525
14.735,31.3171,-0.147107,-0.488955,35.4339,0.456783
14.74,30.3345,0.193743,-0.577525,34.5687,0.545299
14.745,30.1453,0.500567,-0.365457,33.6711,0.616696
14.75,30.2795,0.743541,0.0730494,32.7449,0.673896
